date,datetime,server,user,uniqueid,uniqueidtype,secname,ticker
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,00214Q104,CUSIP,ARK Innovation ETF,ARKK
2020-05-03,2020-05-03 21:59:38.791826+00:00,<SERVER_NICKNAME>,<USERNAME>,00214Q401,CUSIP,ARK Next Generation Internet ETF,ARKW
2020-05-09,2020-05-09 12:00:35.217802+00:00,<SERVER_NICKNAME>,<USERNAME>,92189F411,CUSIP,VanEck Vectors BDC Income ETF,BIZD
2020-05-09,2020-05-09 12:00:35.217802+00:00,<SERVER_NICKNAME>,<USERNAME>,33734X846,CUSIP,First Trust NASDAQ Cybersecurity ETF,CIBR
