date,datetime,server,user,acctid,brokerid,dtpriceasof,heldinacct,mktval,postype,uniqueid,uniqueidtype,unitprice,units
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID>,2020-05-03 12:00:00+00:00,MARGIN,2461.86,LONG,00214Q104,CUSIP,52.38,47.0
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID>,2020-05-03 12:00:00+00:00,MARGIN,2515.6,LONG,00214Q401,CUSIP,62.89,40.0
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID>,2020-05-03 12:00:00+00:00,MARGIN,925.2,LONG,92189F411,CUSIP,10.28,90.0
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID>,2020-05-03 12:00:00+00:00,MARGIN,1117.2,LONG,33734X846,CUSIP,27.93,40.0
