date,datetime,server,user,acctid,brokerid,dtend,dtstart,incometype,dttrade,fitid,memo,uniqueid,uniqueidtype,subacctfund,subacctsec,total,buytype,unitprice,units,fees,selltype,dtposted,trnamt,trntype,postype,tferaction
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID_1>,,,DIV,2020-03-16 23:08:18+00:00,<FITID_1>,OFF-CYCLE INTEREST,9ZZZFD104,CUSIP,MARGIN,MARGIN,0.02,,,,,,,,,,
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID_1>,,,DIV,2019-01-31 22:11:16+00:00,<FITID_2>,CASH ALTERNATIVES INTEREST,9ZZZFD104,CUSIP,CASH,CASH,0.07,,,,,,,,,,
2020-05-03,2020-05-03 21:17:28.043873+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID_1>,,,,2020-04-21 07:12:07+00:00,<FITID_3>,MANDATORY REVERSE SPLIT,74347Y888,CUSIP,,CASH,,,,129.0,,,,,,LONG,IN
2020-05-09,2020-05-09 12:00:35.217802+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID_1>,,,,2020-04-27 12:19:12+00:00,<FITID_4>,BUY TRADE,00214Q401,CUSIP,MARGIN,MARGIN,-2599.0,BUY,64.975,40.0,,,,,,,
2020-05-09,2020-05-09 12:02:15.059746+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID_1>,,,,2020-04-27 12:26:26+00:00,<FITID_5>,BUY TRADE,92189F411,CUSIP,MARGIN,MARGIN,-960.28,BUY,10.6698,90.0,,,,,,,
2020-05-09,2020-05-09 12:02:15.059746+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID_1>,,,,2020-04-27 12:23:06+00:00,<FITID_6>,BUY TRADE,33734X846,CUSIP,MARGIN,MARGIN,-1162.2,BUY,29.055,40.0,,,,,,,
2020-05-09,2020-05-09 12:02:15.059746+00:00,<SERVER_NICKNAME>,<USERNAME>,<ACCT_ID_1>,<BROKER_ID_1>,,,,2020-04-27 12:19:31+00:00,<FITID_7>,BUY TRADE,00214Q104,CUSIP,MARGIN,MARGIN,-2626.83,BUY,55.8901,47.0,,,,,,,
